DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
20-Apr-2026,EQ,"5,582.00","5,676.50","5,534.00","5,582.00","5,607.50","5,642.00","5,643.50","5,933.50","4,716.20",64218,"36,24,14,113.50",13593
17-Apr-2026,EQ,"5,570.00","5,614.50","5,501.50","5,570.00","5,550.00","5,582.00","5,574.51","5,933.50","4,716.20",126039,"70,26,05,563.50",14281
16-Apr-2026,EQ,"5,639.00","5,688.00","5,528.50","5,575.50","5,559.50","5,570.00","5,571.29","5,933.50","4,716.20",115380,"64,28,15,136.50",23308
15-Apr-2026,EQ,"5,440.00","5,599.00","5,350.00","5,364.50","5,589.00","5,575.50","5,527.64","5,933.50","4,716.20",191897,"1,06,07,37,679.00",20325
13-Apr-2026,EQ,"5,380.00","5,432.00","5,308.50","5,440.00","5,349.00","5,364.50","5,375.99","5,933.50","4,716.20",165527,"88,98,71,140.00",27936
10-Apr-2026,EQ,"5,390.00","5,451.50","5,353.50","5,370.50","5,431.00","5,440.00","5,421.54","5,933.50","4,611.85",80490,"43,63,79,705.00",17926
09-Apr-2026,EQ,"5,269.00","5,386.50","5,181.50","5,246.00","5,385.00","5,370.50","5,313.64","5,933.50","4,611.85",128017,"68,02,35,694.00",22048
08-Apr-2026,EQ,"5,278.00","5,295.50","5,214.50","5,172.50","5,237.50","5,246.00","5,255.10","5,933.50","4,611.85",145626,"76,52,79,141.50",26516
07-Apr-2026,EQ,"5,236.50","5,246.50","5,142.00","5,236.50","5,174.00","5,172.50","5,177.12","5,933.50","4,611.85",136756,"70,80,02,283.50",24301
06-Apr-2026,EQ,"5,273.50","5,305.50","5,155.00","5,258.00","5,247.50","5,236.50","5,210.66","5,933.50","4,611.85",81489,"42,46,11,843.00",15136
02-Apr-2026,EQ,"5,210.50","5,276.50","5,075.00","5,244.50","5,271.00","5,258.00","5,170.24","5,933.50","4,611.85",70183,"36,28,62,743.00",16161
01-Apr-2026,EQ,"5,320.50","5,454.00","5,210.00","5,299.00","5,250.50","5,244.50","5,283.33","5,933.50","4,611.85",119101,"62,92,49,813.00",26029
30-Mar-2026,EQ,"5,291.00","5,345.50","5,252.00","5,344.50","5,300.00","5,299.00","5,298.61","5,933.50","4,611.85",182729,"96,82,08,855.50",22086
27-Mar-2026,EQ,"5,401.00","5,419.50","5,259.00","5,435.50","5,271.50","5,344.50","5,357.41","5,933.50","4,611.85",145051,"77,70,98,314.50",27004
25-Mar-2026,EQ,"5,355.00","5,464.00","5,311.50","5,297.00","5,434.50","5,435.50","5,411.86","5,933.50","4,611.85",61346,"33,19,96,198.00",11503
24-Mar-2026,EQ,"5,200.00","5,304.50","5,160.50","5,144.50","5,301.00","5,297.00","5,240.34","5,933.50","4,611.85",79204,"41,50,56,209.00",14266
23-Mar-2026,EQ,"5,260.00","5,272.50","5,111.50","5,257.50","5,160.00","5,144.50","5,156.85","5,933.50","4,611.85",110544,"57,00,59,056.50",23945